efta_number,anchor_priority,dossier_score,claim_lane,quality_flag,key_signal_level,phase14_candidate_rows,phase14_raw_decoder_rows,phase14_decoder_hit_count_from_candidates,phase14_decoder_hit_count_from_raw,phase14_convergent,phase14_keysets,phase14_spaces,phase14_ops,desktop_decoder_hits,desktop_matched_values,desktop_key_modes,desktop_top_score,key_context_examples,reporting_use
EFTA00591691,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00808277,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00810510,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01088484,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01123862,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02460935,17,97,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00358901,16,85,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00699221,16,85,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01001321,16,85,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01001339,16,85,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00284982,15,104,thiel_epstein_access_intel,USABLE_TEXT,phase14_key_hit,1,3,3,3,False,canonical_10slot;deduped_ordered;reversed_10slot,full_text_corpus.doc_search;search_index.efta_reports,power_mod,0,,,0,"[search_index.efta_reports / canonical_10slot / idx 6084] EFTA00284982 intelligence/POWER_OVERLAP_SEALED_FILINGS_INVESTIGATION POWER OVERLAP, SEALED FILINGS & SUPPRESSION INVESTIGATION --- [search_index.efta_reports / reversed_10slot / idx 6084] EFTA00284982 intelligence/POWER_OVERLAP_SEALED_FILINGS_INVESTIGATION POWER OVERLAP, SEALED FILINGS & SUPPRESSION INVESTIGATION --- [search_index.efta_reports / deduped_ordered / idx 6084] EFTA00284982 intelligence/POWER_OVERLAP_SEALED_FILINGS_INVESTIGATION POWER OVERLAP, SEALED FILINGS & SUPPRESSION INVESTIGATION",Use source text as evidence; cite key signal only as discovery/provenance.
EFTA00361939,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00361970,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362192,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362301,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362305,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362411,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363086,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363432,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363472,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363514,15,104,thiel_epstein_access_intel,USABLE_TEXT,desktop_decoder_hit,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,2,514,stripped_numeric,177.44211287988423,"[514 stripped_numeric char:9-12] EFTA00363514 ============ --- PAGE 0 --- From: ""Jeffrey E."" <jeevacation®gmail.com> To: Subject: Re: Mort Zuckerman Date: Fri, 0 --- [514 stripped_numeric char:1183-1186] :36am) Reminder: you want to speak with (Choate, Hall & Stewart LLP) and Jones Perry (Shearman & Sterling) EFTA00363514 --- PAGE 1 --- 10:00am Meet Bill Gates at the Four Season Hotel (Will Tom Pritzker be able to go with you to meet Bil",Use source text as evidence; cite key signal only as discovery/provenance.
EFTA00693776,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00996102,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01070957,15,76,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,0,0,0,0,False,,,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02095691,15,104,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00284949,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362321,14,97,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362678,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362802,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363067,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363093,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363098,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363236,14,97,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363562,14,97,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363580,14,92,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01003336,14,67,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01003346,14,67,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01039508,14,67,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01039680,14,67,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01751018,14,97,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01921275,14,44,direct_thiel,USABLE_TEXT,phase14_key_hit,1,2,2,2,False,canonical_10slot;reversed_10slot,document_entities.distinct_efta;full_text_corpus.pages;local_artifacts,product_mod_r3,0,,,0,[document_entities.distinct_efta / canonical_10slot / idx 530679] Ehud Barak person 1 Peter Thiel person 1 --- [document_entities.distinct_efta / reversed_10slot / idx 530679] Ehud Barak person 1 Peter Thiel person 1,Use source text as evidence; cite key signal only as discovery/provenance.
EFTA02723383,14,97,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362823,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362832,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362860,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362862,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362866,13,82,thiel_epstein_access_intel,USABLE_TEXT,phase14_key_hit,1,3,5,5,False,canonical_10slot;deduped_ordered;reversed_10slot,communications.emails;communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,sum_mod_r5,0,,,0,"[communications.emails / canonical_10slot / idx 3266] EFTA00362866 9 1 text_parse Jeffrey E jeevacation@gmail.com Peter Thiel • cl=a >, Lesley Groff <> Re: > see you at 5 , bill burns will be here then dinner with woody and kathy On Fri, Sep 12, 2014 at 2:02 AM, Peter Thiel < wrote: September 12, 2014 at 2:11:40 AM EDT 2014-09-12 --- [communications.emails / reversed_10slot / idx 3266] EFTA00362866 9 1 text_parse Jeffrey E jeevacation@gmail.com Peter Thiel • cl=a >, Lesley Groff <> Re: > see you at 5 , bill burns will be here then dinner with woody and kathy On Fri, Sep 12, 2014 at 2:02 AM, Peter Thiel < wrote: September 12, 2014 at 2:11:40 AM EDT 2014-09-12 --- [communications.emails / deduped_ordered / idx 3266] EFTA00362866 9 1 text_parse Jeffrey E jeevacation@gmail.com Peter Thiel • cl=a >, Lesley Groff <> Re: > see you at 5 , bill burns will be here then dinner with woody and kathy On Fri, Sep 12, 2014 at 2:02 AM, Peter Thiel < wrote: September 12, 2014 at 2:11:40 AM EDT 2014-09-12",Use source text as evidence; cite key signal only as discovery/provenance.
EFTA00362871,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362876,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362880,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362884,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362909,13,80,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362932,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363249,13,80,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363355,13,85,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363360,13,85,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363570,13,85,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363616,13,85,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363963,13,85,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00465311,13,32,direct_thiel,USABLE_TEXT,phase14_key_hit,1,2,3,3,False,canonical_10slot;deduped_ordered,communications.emails_fts;full_text_corpus.doc_search;local_artifacts;search_index.documents,sha256_mod_r2,0,,,0,"[search_index.documents / canonical_10slot / idx 934934] EFTA00465311 9 3 email ['Peter Thiel aa•', None] Jeffrey Epstein 2017-12-01 From: =cMIEle To: Peter Thiel aa• Cc: ICatyna Shuliak Subject: Jeffrey Epstein Date: Fri, 01 Dec 2017 22:27:01 +0000 cza Hello Alisa...Hope you are well. I was wondering if you have an updated list of dietary restrictions for Peter? I have the below...Please let me know if there is a new lis --- [search_index.documents / deduped_ordered / idx 934934] EFTA00465311 9 3 email ['Peter Thiel aa•', None] Jeffrey Epstein 2017-12-01 From: =cMIEle To: Peter Thiel aa• Cc: ICatyna Shuliak Subject: Jeffrey Epstein Date: Fri, 01 Dec 2017 22:27:01 +0000 cza Hello Alisa...Hope you are well. I was wondering if you have an updated list of dietary restrictions for Peter? I have the below...Please let me know if there is a new lis",Use source text as evidence; cite key signal only as discovery/provenance.
EFTA00617015,13,56,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00631543,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00996579,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01055201,13,32,direct_thiel,USABLE_TEXT,phase14_key_hit,1,2,2,2,False,canonical_10slot;deduped_ordered,document_entities.distinct_efta;local_artifacts,sha256_mod_r3,0,,,0,[document_entities.distinct_efta / canonical_10slot / idx 304052] Peter Thiel person 1 --- [document_entities.distinct_efta / deduped_ordered / idx 304052] Peter Thiel person 1,Use source text as evidence; cite key signal only as discovery/provenance.
EFTA01128080,13,56,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,0,0,0,0,False,,,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA01193391,13,56,thiel_valar_capital,USABLE_TEXT,text_search_or_priority_only,0,0,0,0,False,,,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02024389,13,32,direct_thiel,USABLE_TEXT,phase14_key_hit,1,3,3,3,False,canonical_10slot;deduped_ordered;reversed_10slot,full_text_corpus.pages;local_artifacts,product_mod_r2,0,,,0,"[full_text_corpus.pages / canonical_10slot / idx 261248] Eric Schmidt Jim Simons Jes Staley Peter Thiel Ian Osborne (add Ian to both seminar lists?) On Mar 20, 2012, at 8:41 AM, jeffrey epstein wrote: set up a meeting time for jes and danny hillis on monday the 16th. . do not coordiante yet with danny„ but send danny the list of my proposed attendees for the money conference. thnaks danny will come to the tribeca ball. The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information, --- [full_text_corpus.pages / reversed_10slot / idx 261248] Eric Schmidt Jim Simons Jes Staley Peter Thiel Ian Osborne (add Ian to both seminar lists?) On Mar 20, 2012, at 8:41 AM, jeffrey epstein wrote: set up a meeting time for jes and danny hillis on monday the 16th. . do not coordiante yet with danny„ but send danny the list of my proposed attendees for the money conference. thnaks danny will come to the tribeca ball. The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information, --- [full_text_corpus.pages / deduped_ordered / idx 261248] Eric Schmidt Jim Simons Jes Staley Peter Thiel Ian Osborne (add Ian to both seminar lists?) On Mar 20, 2012, at 8:41 AM, jeffrey epstein wrote: set up a meeting time for jes and danny hillis on monday the 16th. . do not coordiante yet with danny„ but send danny the list of my proposed attendees for the money conference. thnaks danny will come to the tribeca ball. The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information,",Use source text as evidence; cite key signal only as discovery/provenance.
